HP Part Number 1,HP Part Number 2,Manufacturer,Part Number,Description,Source 1,Source 2,,
1820-1691,,,,Nanoprocessor used in HP 98034A HP-IB Interface,http://www.bitsavers.org/pdf/hp/98xx/98034-90000_hpibIntf_May79.pdf,,,
1820-1692,,,,Nanoprocessor used in HP 98034A HP-IB Interface,http://www.bitsavers.org/pdf/hp/98xx/98034-90000_hpibIntf_May79.pdf,http://d116.com/hp/98034/,,
1820-1701,,Intel,8080A (8080A-2) / AMD AM9080A-2DC,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1783,,Texas Instruments,TMS8080ANL,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-1928,,Fairchild,3850PC,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2006,,AMD,AM9080A-4DC,8080 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2069,,Intel,P4040,4040 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2074,,Intel,P8085A / P8085AH,8085 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2099,,Motorola,MC6802P,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2137,,Motorola,MC68A00P,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2151,,Motorola,MC6802L,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2176,,Intel,P8035,8035 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2188,,Mostek,MK3880N,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2205,,Intel,P8085A-2,8085 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2238,,National Semiconductor,IDM2901ADC,2901 BSP,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2240,,Motorola,MC68A08P,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2271,,Intel,P8039,8039 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2278,,Intel,D8748,8048 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2293,,Motorola,MC68B00P,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2298,,Zilog/Mostek,Z8400A PS / Mostek MK3880N-4,Z80 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2308,,Intel,P8039-6,8039 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2340,,AMD,AM2511DC,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2349,,Texas instruments, TMS9900JL,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2358,,Motorola,MC68B00L,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2377,,AMD,AM2903DC,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2378,,AMD,AM2910DC,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2411,,Motorola,MC6800P,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2422,,National Semiconductor, IDM2901A-1NC,2901 BSP,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2433,,Intel,C8748-8,8048 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2490,,Motorola,MC6809P,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2505,,Motorola,MC68000L,6800 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2523,,National Semiconductor,IDM2911ANC,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2528,,Intel,ID8039,8035 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2553,,AMD,AMZ8002DC,Z80 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2556,,AMD,AM2901BDC,2901 BSP,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2562,,Motorola,MC6803P,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2589,,Synertek,SYC6502B,6502 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2596,,Intel,D8086-2,8086 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2612,,Motorola,MC6809L,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2624,,Motorola,MC68B09P,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2637,,AMD,AMZ8002-1DC,Z80 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2638,,AMD,AMZ8001-1DC,Z80 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2649,,Zilog/Mostek,Z80B / Mostek MK3880N-6,Z80 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2650,,Mostek,MK38P70/02R,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2651,,Motorola,MC6803L-1,,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2667,,AMD,AM2901BPC,2901 BSP,http://www.cpu-world.com/info/HP-parts.html,,,
1820-2737,,Intel,8048,8048 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-3320,,Motorola,MC68000L10,68000 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-3514,,Intel,P8088-2,8088 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-3533,,Harris,CP80C86,8086 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-3533,,Harris,CP80C86,8086 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-5373,,OKI,M80C49-600,8049 MCU,http://www.cpu-world.com/info/HP-parts.html,,,
1820-7609,,AMD,AM29000-30GC?,29000 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-0859,,,80486DX2-66 (with heatsink),486 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-1168,,,80486DX2-66 (no heatsink),486 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-1285,,,80486DX4-100,486 CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-1734,,Intel,Pentium 66 MHz,Pentium CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-2244,,Intel,Pentium 166 MHz,Pentium CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-2294,,Intel,Pentium 100 MHz,Pentium CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-2295,,Intel,Pentium 133 MHz,Pentium CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-2604,,Intel,Pentium 166 MHz,Pentium CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-3449,,Intel,Pentium Pro 200 MHz (256 KB internal cache),Pentium Pro CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-3450,,Intel,Pentium Pro 180 MHz (256 KB internal cache),Pentium Pro CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-3451,,Intel,Pentium Pro 166 MHz (512 KB internal cache),Pentium Pro CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-3452,,Intel,Pentium Pro 200 MHz (512 KB internal cache),Pentium Pro CPU,http://www.cpu-world.com/info/HP-parts.html,,,
1821-4608,,Intel,Pentium II 350MHz (512 KB level 2 cache),Pentium II CPU,http://www.cpu-world.com/info/HP-parts.html,,,
5181-2333,,HP,,PA-7100,http://www.chipdb.org/img-hp-pa-risc-7100-1578.htm,,,
5181-2451,1FG1-0003,HP,,PA-9000 ?,http://commons.wikimedia.org/wiki/File:HP-HP9000-PA-RISC-NS1-CPU_30.jpg,,,
5181-2451,1FG7-0002,HP,,PA-9000 ?,http://commons.wikimedia.org/wiki/File:HP-HP9000-PA-RISC-NS1-CPU_30.jpg,,,
,1FG3-0002,HP,,PA-9000 ?,http://commons.wikimedia.org/wiki/File:HP-HP9000-PA-RISC-NS1-CPU_30.jpg,,,
,1FG6-0002,HP,,PA-9000 ?,http://commons.wikimedia.org/wiki/File:HP-HP9000-PA-RISC-NS1-CPU_30.jpg,,,
09825-67907,,HP,,"Original version of the hybrid processor, still with multi-level indirection support",http://www.hp9845.net/9845/hardware/processors/,,,
5061-3010,,HP,,"9845A logical processing unit (LPU), Revised version of the hybrid processor, with extended address space, sacrifying the seldom-used multi-level indirection feature",http://www.hp9845.net/9845/hardware/processors/,,,
5061-3011,,HP,,"9845A peripheral processing unit (PPU), Special variant of the 5061-3010 hybrid processor without Extended Math Chip (EMC)",http://www.hp9845.net/9845/hardware/processors/,,,
5061-3043,,HP,,Variant of 5061-3010 hybrid processor used in the HP 250 system (same pinout as 5061-3010),http://www.hp9845.net/9845/hardware/processors/,,,
5061-4204,,HP,,"Variant of 5061-3010 hybrid processor used in the HP 8566A/8568A spectrum analyzers (probably same pinout as 09825-67907, but with heat sink fins lengthwise instead of crosswise)",http://www.hp9845.net/9845/hardware/processors/,,,
5061-3001,,HP,,"9845B/C Hybrid Processor, including the Address Extension Chip (AEC), was used both for the LPU and the PPU",http://www.hp9845.net/9845/hardware/processors/,,,
1818-2500,,HP,,Binary Processor Chip (BPC) ,http://www.hp9845.net/9845/hardware/processors/,,,
5061-3012,,HP,,TACO tape drive controller,http://www.decadecounter.com/vta/articleview.php?item=428,,,
