Family,Name,Contacts,Length,Width,Height,Volume,Pitch,Weight,Examples,JEDEC,
QFP,VQFP-240,,,,,,,,,,
QFP,VQFP-272,,,,,,,,,,
QFP,VQFP-304,,,,,,,,,,
QFP,VQFP-44,,,,,,,,,,
QFP,VQFP-56,,,,,,,,,,
QFP,VQFP-64,64,10mm,10mm,0.8mm,,0.5mm,,,S-PQFP-G,
QFP,VQFP-64,,,,,,,,,,
QFP,VQFP-80,,,,,,,,,,
QIP,QIP-42,,,,,,,,,,
QIP,QIP-64,,,,,,,,,,
Slot,SECC,242,,,,,,,,,
Slot,SECC2,330,,,,,,,,,
Slot,SEPP,,,,,,,,,,
SOP,SOIC-24,,,,,,,,,,
SOP,SOIC-28,,,,,,,,,,
SOP,SOIC-32,,,,,,,,,,
SOP,SOIC-40,,,,,,,,,,
SOP,SOIC-44,,,,,,,,,,
TCP,TCP-320,320,24mm,24mm,0.75mm,24 x 24 x 0.75 mm^3,0.25,0.5gm,,,
,MMC,,,,,,,,,,
