Family,Chip Type,Soviet Manufacturer,Soviet Part Number,Western Manufacturer,Western Part Number,Blank,Blank,Description,Comments,Blank,Blank,Reference 1,Reference 2,Reference 3,Reference 4
, BSP,, 584ВМ1 , TI ???, SBP0400 ???,,, 4bit I2L, ,,,,,,
3002, BSP ,, 585ИК02   , Intel, i3002,,, , ,,,,,,
, CPU ,, 586ВМ1 , GI ???, CP1610 ???,,, 16bit , ,,,,,,
, BSP,, 587ИК2    ,, original,,, 4 bit, ,,,,,,
, BSP ?,, 588BC1   ,, original ? ,,, 16 bit , ,,,,,,
, BSP ?,, 588BC2 ,, 180x ???,,, , ,,,,,,
3002, BSP,, 589ИК02   , Intel, i3002,,, , ,,,,,,
PDP-11, CPU,, 1013ВМ1 , DEC  , PDP-11 compatible ~LZI-11,,," 16 bit, CMOS", ,,,,,,
Z80, CPU,, 1582ВМ2 , Zilog, Z80A ,,," 8 bit, 5MHz", ,,,,,,
, BSP ,, 1800BC1 , Motorola , MC10800 ,,, , ,,,,,,
PDP-11, CPU,, 1801ВМ1  , DEC, PDP-11 compatible ~DCT-11AA,,," 16 bit, 5MHz", ,,,,,,
PDP-11, CPU ,, 1801ВМ2 , DEC  , PDP-11 compatible ~DCT-11AC,,," 16 bit, 10MHz", ,,,,,,
PDP-11, CPU,, 1801ВМЗ , DEC  , PDP-11 compatible ~LSI-11/23,,," 16 bit, 6MHz", ,,,,,,
PDP-11, FPU,, 1801ВМ4 , DEC  , PDP-11 compatible ,,, 32/64 bit ? 6MHz, ,,,,,,
, BSP,, 1802BC1 , USSR, original ? ,,, 8 bit STTL, ,,,,,,
2900, BSP ,, 1804BC1 , AMD , Am2901 ,,, 4bit, ,,,,,,
2900, BSP ,, 1804BC2 , AMD , Am2903 ,,, , ,,,,,,
29000, CPU ,, 1804ВМ1 , AMD , Am29116 ,,, 4bit, ,,,,,,
2900, BSP,, 1805BC1 , AMD , ~ Am2901 CMOS,,, 4bit, ,,,,,,
PDP-11, CPU ,, 1806ВМ2 , DEC  , PDP-11 compatible,,, CMOS, ,,,,,,
PDP-11, CPU ,, 1806BM3  , DEC, PDP-11 compatible ,,, CMOS, ,,,,,,
PDP-11, CPU ,, 1806ВМ4 , DEC  , PDP-11 compatible,,, CMOS, ,,,,,,
, CPU ,, 1807ВМ1 , DEC , DC310ES ,,, 16 bit, ,,,,,,
