Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Siemens,286,SAB80286-1-R,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,10MHz,10MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,LCC-68,,,,,,,,,,,,,,,,,,,,,,,3W,,0-85C,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-1-R.html,,,,,,,
Siemens,286,SAB80286-12-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,12MHz,12MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-12-N.html,,,,,,,
Siemens,286,SAB80286-16-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,16MHz,16MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-16-N.html,,,,,,,
Siemens,286,SAB80286-8R,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,LCC-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-8R.html,,,,,,,
Siemens,286,SAB80286-A,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,CPGA-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,2.5W,,0-85C,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-A.html,,,,,,,
Siemens,286,SAB80286-C,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,LCC-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-C.html,,,,,,,
Siemens,286,SAB80286-N,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,PLCC-68,,,PLCC-68,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,0-85C,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-N.html,,,,,,,
Siemens,286,SAB80286-R,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,,,,,,8MHz,8MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,16MiB,,1GiB,,,,,LCC-68,,,,,,,,,,,,,,4.75-5.25V,5V,,,,5V,5V,,,2.5W,,0-85C,,,,,,,,286,,,,X86-16,,,,,Ext 287,,,,,,,,,Desktop PC,,,,,,,,,http://www.cpu-world.com/CPUs/80286/Siemens-SAB80286-R.html,,,,,,,
Siemens,8088,SAB8088-1-P,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,,,,,,,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,MYMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,1.7W,,,,,,,,,,8086,,,,,,,,,,,,,,,,,,Embedded systems,,,,,,,,,http://www.cpu-world.com/CPUs/8088/Siemens-SAB8088-1-P.html,,,,,,,
Siemens,8088,SAB8088-12-P,,,,,,,,,,CPU,,,,,,,,1,,,,,,16,8,,,,,,,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8086,,,,,,,,,,,,,,,,,,Embedded systems,,,,,,,,,http://www.cpu-world.com/CPUs/8088/Siemens-SAB8088-12-P.html,,,,,,,
