Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
MOS,65xx,MCS6502 (purple ceramic),,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,Side-brazed CDIP-40,,DIP-40,,,,,Depletion load NMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,0.25W,0.7W,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985","Datasheet: MOS, “MCS6500 MICROCOMPUTER FAMILY HARDWARE MANUAL”, Publication number 6500-10A, Rev A, January 1976",http://www.cpu-world.com/CPUs/650x/MOS%20Technology-MCS6502.html,http://cpucollection.ca/MOS650x.htm,,,,
MOS,65xx,MCS6502 (white ceramic),,,,,,,,,,,,,,,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,,,,none,,,,,,,,$25.00,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985","Datasheet: MOS, “MCS6500 MICROCOMPUTER FAMILY HARDWARE MANUAL”, Publication number 6500-10A, Rev A, January 1976",http://cpucollection.ca/MOS650x.htm,http://upload.wikimedia.org/wikipedia/commons/1/14/MOS_6501_6502_Ad_Sept_1975.jpg,,,,
MOS,65xx,MCS6502A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,DIP-40,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6503,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985","Datasheet: MOS, “MCS6500 MICROCOMPUTER FAMILY HARDWARE MANUAL”, Publication number 6500-10A, Rev A, January 1976",,,,,,
MOS,65xx,MCS6503A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6504,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,13,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,8KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985","Datasheet: MOS, “MCS6500 MICROCOMPUTER FAMILY HARDWARE MANUAL”, Publication number 6500-10A, Rev A, January 1976",,,,,,
MOS,65xx,MCS6504A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,13,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,8KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6505,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,4.75-5.25V,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985","Datasheet: MOS, “MCS6500 MICROCOMPUTER FAMILY HARDWARE MANUAL”, Publication number 6500-10A, Rev A, January 1976",,,,,,
MOS,65xx,MCS6505A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,DIP-28,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6506,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6506A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6508,,,,,,,,,,,,,,,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,256B,64KiB,,,,,,,,,,,,,,,NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpucollection.ca/MOS650x.htm,,,,,,,
MOS,65xx,MCS6512,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,16,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6512A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,16,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,64KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6513,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6513A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6514,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,13,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,8KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6514A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,13,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,8KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6515,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,1MHz,1MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
MOS,65xx,MCS6515A,,,,,,,,,,CPU,,,6500,MOS,,,,1,,,,,,8,8,12,,,,2MHz,2MHz,,,1,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,4KiB,,,,,,,,,,,,,,,Depletion load NMOS,,,,,,,5V,,,,5V,5V,,,,,,,,,,,,,6500,,,,,,,,,none,"Clock generator, timer, interrupt controller",,,,,,,,,,,,,,,,,"Datasheet: Commodore Semiconductor Group, “NMOS 6500 Microprocessors” Nov 1985",,,,,,,
