Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Alternative Label 5,Alternative Label 6,Empty,Empty,Empty,Chip Type,Sub-Family,Model number,Core,Core designer,Microarchitecture,Threads,CPUID,Core Count,Pipeline,Multiprocessing,Empty,Empty,Empty,Architecture,Data Bus (ext),Address Bus,Empty,Empty,Frequency Min,Frequency Max/Typ,Actual bus frequency,Effective bus frequency,Bus bandwidth,Clock multiplier,Core Stepping,Empty,Empty,Empty,Empty,L1 data cache,L1 data associativity,L1 instruction cache,L1 instruction associativity,L1 unified cache,L1 unified associativity,L2 cache,L2 associativity,L3 cache,L3 associativity,Boot ROM,ROM Internal,ROM Type,RAM internal,RAM max,RAM type,Virtual memory max,Empty,Empty,Empty,Empty,Package,Package Size,Package Weight,Socket,Transistor count,Process Size,Metal Layers,Metal Type,Process technology,Die Size,Empty,Empty,Empty,Empty,Vcc range,Vcc(typ),Empty,Vcc(secondary),Vcc(tertiary),Vcc(core),Vcc(I/O),Power Min,Power Typ,Power Max,Power Thermal Design,Temperature range,Temperature Grade,Low Power Features,Empty,Empty,Empty,Empty,Empty,Instruction set,Instruction set extensions,Additional instructions,Computer architecture,ISA,Empty,Empty,Empty,Empty,FPU,On-chip peripherals,Features,Empty,Empty,Empty,Empty,Release date,Initial price,Applications,Military Spec,Comments,Empty,Empty,Empty,Empty,Empty,Empty,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,Reference 7,Reference 8
Harris,6100,HM-6100C-9,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,"3.33MHz (25C), 2.5MHz (full temperature range)",,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,6 KiB (4096 words),,,,,,,,,,,,,,,CMOS,,,,,,4.75-5.25V,5V,,,,5V,,,,,,-40 - 85C,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-HM-6100C-9.html,,,,,,,
Harris,6100,M3-6100C-5,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,12,,,,,,,,,,,,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/6100/Harris-M3-6100C-5.html,,,,,,,
Harris,8086,8405201QA,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,-55 - 125C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-8405201QA.html,,,,,,,
Harris,8086,8405201XA,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,LCC-44,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,-55 - 125C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-8405201XA.html,,,,,,,
Harris,8086,8405202QA,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,-55 - 125C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-8405202QA.html,,,,,,,
Harris,8086,8405202XA,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,LCC-44,,,,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,-55 - 125C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-8405202XA.html,,,,,,,
Harris,8086,CD80C86,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-CD80C86.html,,,,,,,
Harris,8086,CD80C86-2,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,8MHz,8MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-CD80C86-2.html,,,,,,,
Harris,8086,CD80C86-4,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,4MHz,4MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,CDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-CD80C86-4.html,http://www.americanmicrosemi.com/information/spec/?ss_pn=CD80C86-4,,,,,,
Harris,8086,CP80C86,,,,,,,,,,CPU,,,,,,,NA,1,,,,,,16,16,20,,,,5MHz,5MHz,,,1,NA,,,,,none,NA,none,NA,none,NA,none,NA,none,NA,NA,NA,NA,NA,1MiB,,,,,,,PDIP-40,,,DIP-40,,,,,CMOS,,,,,,,5V,,,,5V,5V,,,,,0 - 70C,,,,,,,,8086,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cpu-world.com/CPUs/8086/Harris-CP80C86.html,,,,,,,
