Manufacturer,Family,Part #,Alternative Label 1,Alternative Label 2,Alternative Label 3,Alternative Label 4,Chip Type
Renesas,RX630,R5F5630DCDFC ,,,,,MCU
Renesas,RX630,R5F5630DCDFP ,,,,,MCU
Renesas,RX630,R5F5630DCDLC ,,,,,MCU
Renesas,RX630,R5F5630DCDLK ,,,,,MCU
Renesas,RX630,R5F5630DDDBG ,,,,,MCU
Renesas,RX630,R5F5630DDDFB ,,,,,MCU
Renesas,RX630,R5F5630DDDFC ,,,,,MCU
Renesas,RX630,R5F5630DDDFP ,,,,,MCU
Renesas,RX630,R5F5630DDDLC ,,,,,MCU
Renesas,RX630,R5F5630DDDLK ,,,,,MCU
Renesas,RX630,R5F5630ECDBG ,,,,,MCU
Renesas,RX630,R5F5630ECDFB ,,,,,MCU
Renesas,RX630,R5F5630ECDFC ,,,,,MCU
Renesas,RX630,R5F5630ECDFP ,,,,,MCU
Renesas,RX630,R5F5630ECDLC ,,,,,MCU
Renesas,RX630,R5F5630ECDLK ,,,,,MCU
Renesas,RX630,R5F5630EDDBG ,,,,,MCU
Renesas,RX630,R5F5630EDDFB ,,,,,MCU
Renesas,RX630,R5F5630EDDFC ,,,,,MCU
Renesas,RX630,R5F5630EDDFP ,,,,,MCU
Renesas,RX630,R5F5630EDDLC ,,,,,MCU
Renesas,RX630,R5F5630EDDLK ,,,,,MCU
Renesas,RX631,R5F5631ACDBG ,,,,,MCU
Renesas,RX631,R5F5631ACDFB ,,,,,MCU
Renesas,RX631,R5F5631ACDFC ,,,,,MCU
Renesas,RX631,R5F5631ACDFP ,,,,,MCU
Renesas,RX631,R5F5631ACDLC ,,,,,MCU
Renesas,RX631,R5F5631ACDLK ,,,,,MCU
Renesas,RX631,R5F5631ADDBG ,,,,,MCU
Renesas,RX631,R5F5631ADDFB ,,,,,MCU
Renesas,RX631,R5F5631ADDFC ,,,,,MCU
Renesas,RX631,R5F5631ADDFP ,,,,,MCU
Renesas,RX631,R5F5631ADDLC ,,,,,MCU
Renesas,RX631,R5F5631ADDLK ,,,,,MCU
Renesas,RX631,R5F5631BCDBG ,,,,,MCU
Renesas,RX631,R5F5631BCDFB ,,,,,MCU
Renesas,RX631,R5F5631BCDFC ,,,,,MCU
Renesas,RX631,R5F5631BCDFP ,,,,,MCU
Renesas,RX631,R5F5631BCDLC ,,,,,MCU
Renesas,RX631,R5F5631BCDLK ,,,,,MCU
Renesas,RX631,R5F5631BDDBG ,,,,,MCU
Renesas,RX631,R5F5631BDDFB ,,,,,MCU
Renesas,RX631,R5F5631BDDFC ,,,,,MCU
Renesas,RX631,R5F5631BDDFP ,,,,,MCU
Renesas,RX631,R5F5631BDDLC ,,,,,MCU
